"match","blue_auto_fuel","blue_tele_fuel","red_auto_fuel","red_tele_fuel"
1,7,43,23,71
2,12,24,33,169
3,14,41,21,92
4,12,55,53,129
5,9,15,24,80
6,13,17,6,25
7,27,94,12,27
8,57,310,15,33
9,13,164,8,40
10,16,111,18,63
11,12,24,12,19
12,12,98,67,207
13,12,139,49,54
14,10,4,17,107
15,9,33,18,151
16,29,136,16,107
17,46,109,9,10
18,1,175,0,18
19,18,72,49,206
20,36,116,25,41
21,34,137,12,32
22,10,147,41,135
23,18,44,31,98
24,25,111,25,27
25,12,16,22,37
26,29,42,23,128
27,37,99,29,88
28,13,3,14,151
29,67,165,14,17
30,39,142,46,98
31,13,61,24,46
32,72,289,15,7
33,18,47,9,9
34,36,187,30,121
35,15,56,36,93
36,19,60,36,157
37,28,130,8,16
38,20,46,40,78
39,82,315,52,165
40,29,98,9,26
41,49,71,12,19
42,24,73,12,35
43,15,21,41,69
44,60,248,17,19
45,35,63,33,41
46,24,28,37,160
47,59,292,18,72
