"team","auto_fuel","tele_fuel"
"122",0.52,0.9
"449",0.21,2.01
"526",0.51,2.04
"539",0.31,0.53
"611",0.25,1.21
"612",0.01,1.18
"620",0.35,1.5
"1731",0.38,1.73
"1885",0.42,0.71
"1895",0.39,1.48
"1908",0.37,2.04
"2028",0.27,1.83
"2068",0.65,1.14
"2186",0.33,0.87
"2363",0.19,1.07
"2377",0.23,0.84
"2534",0.6,-1.19
"2890",0.12,1.63
"2963",-0.32,-0.75
"2988",0.53,1.21
"3136",0.24,0.73
"3258",0.3,1.23
"3359",0.61,1.5
"3373",0.01,1.64
"4099",1.04,1.82
"4472",0.43,1.31
"4638",-0.04,2.09
"5243",0.44,1.36
"5338",0.55,2.14
"5353",0.3,0.9
"5549",0.43,2.03
"5587",0.24,0.81
"6882",0.93,2.67
"8230",0.19,1.96
"8326",0.32,1.13
"9072",0.63,1.75
"9403",1.24,-0.24
"10449",1.27,2.59
